127.0.0.1 - - [27/May/2021:01:36:22 +0200] "GET /favicon.ico HTTP/1.1" 404 3802
127.0.0.1 - - [27/May/2021:01:36:25 +0200] "GET /animal/ HTTP/1.1" 200 7951
127.0.0.1 - - [27/May/2021:01:36:25 +0200] "GET /library/javascript/jquery-ui-1.10.3.js HTTP/1.1" 403 3802
127.0.0.1 - - [27/May/2021:01:36:25 +0200] "GET /library/javascript/jquery.js HTTP/1.1" 403 3802
127.0.0.1 - - [27/May/2021:01:36:25 +0200] "GET /library/javascript/jquery.dataTables.min.js HTTP/1.1" 403 3802
127.0.0.1 - - [27/May/2021:01:36:25 +0200] "GET /library/javascript/bootstrap.js HTTP/1.1" 403 3802
127.0.0.1 - - [27/May/2021:01:36:25 +0200] "GET /library/javascript/jquery.js HTTP/1.1" 403 3802
127.0.0.1 - - [27/May/2021:01:36:25 +0200] "GET /library/javascript/jquery-ui-1.10.3.js HTTP/1.1" 403 3802
127.0.0.1 - - [27/May/2021:01:36:25 +0200] "GET /library/javascript/bootstrap.js HTTP/1.1" 403 3802
127.0.0.1 - - [27/May/2021:01:36:25 +0200] "GET /library/javascript/jquery.dataTables.min.js HTTP/1.1" 403 3802
127.0.0.1 - - [27/May/2021:01:36:44 +0200] "GET /animal/ HTTP/1.1" 200 7951
127.0.0.1 - - [27/May/2021:01:36:44 +0200] "GET /library/javascript/jquery-ui-1.10.3.js HTTP/1.1" 403 3802
127.0.0.1 - - [27/May/2021:01:36:44 +0200] "GET /library/javascript/jquery.js HTTP/1.1" 403 3802
127.0.0.1 - - [27/May/2021:01:36:44 +0200] "GET /library/javascript/jquery.dataTables.min.js HTTP/1.1" 403 3802
127.0.0.1 - - [27/May/2021:01:36:44 +0200] "GET /library/javascript/bootstrap.js HTTP/1.1" 403 3802
127.0.0.1 - - [27/May/2021:01:36:45 +0200] "GET /library/javascript/jquery.js HTTP/1.1" 403 3802
127.0.0.1 - - [27/May/2021:01:36:45 +0200] "GET /library/javascript/jquery-ui-1.10.3.js HTTP/1.1" 403 3802
127.0.0.1 - - [27/May/2021:01:36:45 +0200] "GET /library/javascript/bootstrap.js HTTP/1.1" 403 3802
127.0.0.1 - - [27/May/2021:01:36:45 +0200] "GET /library/javascript/jquery.dataTables.min.js HTTP/1.1" 403 3802
127.0.0.1 - - [27/May/2021:01:38:54 +0200] "GET /animal/ HTTP/1.1" 200 7951
127.0.0.1 - - [27/May/2021:01:38:55 +0200] "GET /library/javascript/jquery.js HTTP/1.1" 200 256807
127.0.0.1 - - [27/May/2021:01:38:55 +0200] "GET /library/javascript/jquery-ui-1.10.3.js HTTP/1.1" 200 465850
127.0.0.1 - - [27/May/2021:01:38:55 +0200] "GET /library/javascript/bootstrap.js HTTP/1.1" 200 118942
127.0.0.1 - - [27/May/2021:01:38:55 +0200] "GET /library/javascript/jquery.dataTables.min.js HTTP/1.1" 200 84501
127.0.0.1 - - [27/May/2021:01:38:55 +0200] "GET /library/javascript/bootstrap.js.map HTTP/1.1" 404 3802
127.0.0.1 - - [27/May/2021:01:38:55 +0200] "GET /animal/?action=search&filter_search=&sEcho=1&iColumns=2&sColumns=%2C&iDisplayStart=0&iDisplayLength=100&mDataProp_0=0&mDataProp_1=1 HTTP/1.1" 200 218
127.0.0.1 - - [27/May/2021:01:39:07 +0200] "GET /member/ HTTP/1.1" 200 8053
127.0.0.1 - - [27/May/2021:01:39:08 +0200] "GET /library/javascript/bootstrap.js.map HTTP/1.1" 404 3802
127.0.0.1 - - [27/May/2021:01:39:08 +0200] "GET /member/?action=search&filter_search=&sEcho=1&iColumns=4&sColumns=%2C%2C%2C&iDisplayStart=0&iDisplayLength=100&mDataProp_0=0&mDataProp_1=1&mDataProp_2=2&mDataProp_3=3 HTTP/1.1" 200 268
127.0.0.1 - - [27/May/2021:01:39:59 +0200] "GET /member/details.php HTTP/1.1" 200 7047
127.0.0.1 - - [27/May/2021:01:40:02 +0200] "POST /member/details.php HTTP/1.1" 200 7177
127.0.0.1 - - [27/May/2021:01:40:11 +0200] "POST /member/details.php HTTP/1.1" 200 7173
127.0.0.1 - - [27/May/2021:01:45:28 +0200] "GET / HTTP/1.1" 200 5658
127.0.0.1 - - [27/May/2021:01:45:33 +0200] "GET /member/ HTTP/1.1" 200 8053
127.0.0.1 - - [27/May/2021:01:45:33 +0200] "GET /member/?action=search&filter_search=&sEcho=1&iColumns=4&sColumns=%2C%2C%2C&iDisplayStart=0&iDisplayLength=100&mDataProp_0=0&mDataProp_1=1&mDataProp_2=2&mDataProp_3=3 HTTP/1.1" 200 268
127.0.0.1 - - [27/May/2021:01:46:54 +0200] "GET /member/details.php?id=2 HTTP/1.1" 200 7159
127.0.0.1 - - [27/May/2021:01:52:49 +0200] "GET /member/ HTTP/1.1" 200 8053
127.0.0.1 - - [27/May/2021:01:52:50 +0200] "GET /member/?action=search&filter_search=&sEcho=1&iColumns=4&sColumns=%2C%2C%2C&iDisplayStart=0&iDisplayLength=100&mDataProp_0=0&mDataProp_1=1&mDataProp_2=2&mDataProp_3=3 HTTP/1.1" 200 236
127.0.0.1 - - [27/May/2021:01:53:25 +0200] "GET /member/?action=search&filter_search=&sEcho=1&iColumns=4&sColumns=%2C%2C%2C&iDisplayStart=0&iDisplayLength=100&mDataProp_0=0&mDataProp_1=1&mDataProp_2=2&mDataProp_3=3 HTTP/1.1" 200 250
127.0.0.1 - - [27/May/2021:01:53:31 +0200] "GET /member/details.php HTTP/1.1" 200 7047
127.0.0.1 - - [27/May/2021:01:53:38 +0200] "POST /member/details.php HTTP/1.1" 302 -
127.0.0.1 - - [27/May/2021:01:53:40 +0200] "GET /member/ HTTP/1.1" 200 8053
127.0.0.1 - - [27/May/2021:01:53:40 +0200] "GET /member/?action=search&filter_search=&sEcho=1&iColumns=4&sColumns=%2C%2C%2C&iDisplayStart=0&iDisplayLength=100&mDataProp_0=0&mDataProp_1=1&mDataProp_2=2&mDataProp_3=3 HTTP/1.1" 200 451
127.0.0.1 - - [27/May/2021:01:53:56 +0200] "GET /member/?action=search&filter_search=&sEcho=1&iColumns=4&sColumns=%2C%2C%2C&iDisplayStart=0&iDisplayLength=100&mDataProp_0=0&mDataProp_1=1&mDataProp_2=2&mDataProp_3=3 HTTP/1.1" 200 451
127.0.0.1 - - [27/May/2021:01:54:25 +0200] "GET /member/details.php HTTP/1.1" 200 7047
127.0.0.1 - - [27/May/2021:02:02:46 +0200] "GET /member/ HTTP/1.1" 200 8053
127.0.0.1 - - [27/May/2021:02:02:47 +0200] "GET /member/?action=search&filter_search=&sEcho=1&iColumns=4&sColumns=%2C%2C%2C&iDisplayStart=0&iDisplayLength=100&mDataProp_0=0&mDataProp_1=1&mDataProp_2=2&mDataProp_3=3 HTTP/1.1" 200 636
127.0.0.1 - - [27/May/2021:02:02:58 +0200] "GET /member/details.php?id=4 HTTP/1.1" 200 7135
127.0.0.1 - - [27/May/2021:02:06:50 +0200] "POST /member/details.php?id=4 HTTP/1.1" 302 -
127.0.0.1 - - [27/May/2021:02:06:54 +0200] "GET /member/ HTTP/1.1" 200 8053
127.0.0.1 - - [27/May/2021:02:06:54 +0200] "GET /member/?action=search&filter_search=&sEcho=1&iColumns=4&sColumns=%2C%2C%2C&iDisplayStart=0&iDisplayLength=100&mDataProp_0=0&mDataProp_1=1&mDataProp_2=2&mDataProp_3=3 HTTP/1.1" 200 643
127.0.0.1 - - [27/May/2021:02:07:01 +0200] "GET /animal/ HTTP/1.1" 200 7951
